CodeId	Abbreviation
1944	s-teicopl
1945	s-tocaab
1946	li-toxoabg
1947	li-toxoabm
1948	li-toxoab
1949	s-tfr
1950	s-tfrind
1951	-triche
1952	-trsp-o
1953	li-ftaabs
1954	s-trbrab
1955	s-trcrab
1956	u-tsopi-o
1957	li-vzvabg
1958	s-venlaf
1959	p-vwf2n
1960	-xlrs-d
1984	u-i
1988	b-cd
1989	u-cd
1991	af-k
1992	as-k
1993	di-k
1994	du-k
1995	e-k
1996	f-k
1997	gj-k
1998	li-k
1999	p-k
2000	pd-k
2001	s-k
2002	sa-k
2003	sw-k
2004	u-k
2005	pt-k-vaih
2006	du-ct
2007	fp-ct
2008	fs-ct
2009	s-ctab
2010	pt-trca
2011	du-ca
2012	f-ca
2013	s-ca
2014	li-ca
2015	sa-ca
2016	u-ca
2019	s-ca-ion
2020	du-ca-ion
2021	f-campvi
2023	pt-a-etco2
2024	pt-kapnogr
2026	li-karba
2027	s-karba
2028	pt-eso-pai
2029	pt-eso-ph
2030	pt-kar-ref
2031	s-kardab
2032	u-karni-o
2033	fs-karot
2034	s-cea
2035	fs-gh
2036	s-ghrh
2037	ts-ghrh
2038	s-gh-24h
2039	f-katal-o
2040	fs-kendkol
2041	s-kerulo
2042	pt-keve-vl
2043	pt-kevekod
2050	pt-keuva
2051	pt-pmaxex
2052	pt-pmaxin
2053	f-enve-o
2054	s-kinid
2055	sy-kide-o
2056	bi-kivi
2057	gi-kivi
2058	u-kivi
2059	-chtrvi
2060	s-chlaab
2061	pt-klr-et
2062	pt-klr-muu
2063	pt-klr-pje
2064	pt-klr-pjj
2065	pt-klr-spi
2068	pt-klr-tje
2069	pt-klr-tjj
2070	pt-klr-vap
2072	gj-hcl
2073	af-cl
2074	as-cl
2075	gj-cl
2076	di-cl
2077	du-cl
2078	f-cl
2079	li-cl
2080	p-cl
2081	pd-cl
2082	s-cl
2083	sa-cl
2084	sw-cl
2085	sy-cl
2086	u-cl
2087	s-kloro
2089	b-koagel
2090	fs-kolaat
2092	s-cck
2093	pt-cck-r
2094	f-vichvi
2095	fs-kol
2096	fs-kol-es
2097	fs-kol-hdl
2098	fs-kol-kyl
2099	fs-kol-ldl
2100	fs-kolvldl
2101	s-che
2102	s-che-o
2103	s-cop
2104	u-cop
2106	s-c3
2107	s-c4
2108	pt-keukomp
2110	pt-hengty�
2113	s-kgcbic
2114	t-konprot
